block_group,household_pub_assist,count_household_pub_assist
480291806042,house_pub_assist_yes,36.0
480291806045,house_pub_assist_yes,0.0
480291810033,house_pub_assist_yes,15.0
480291813032,house_pub_assist_yes,0.0
480291814032,house_pub_assist_yes,0.0
480291814033,house_pub_assist_yes,0.0
480291814042,house_pub_assist_yes,0.0
480291815032,house_pub_assist_yes,13.0
480291817112,house_pub_assist_yes,15.0
480291817113,house_pub_assist_yes,0.0
480291817153,house_pub_assist_yes,22.0
480291817162,house_pub_assist_yes,28.0
480291817163,house_pub_assist_yes,0.0
480291817164,house_pub_assist_yes,50.0
480291817183,house_pub_assist_yes,0.0
480291817201,house_pub_assist_yes,16.0
480291817202,house_pub_assist_yes,8.0
480291817211,house_pub_assist_yes,14.0
480291817212,house_pub_assist_yes,0.0
480291817231,house_pub_assist_yes,0.0
480291817221,house_pub_assist_yes,13.0
480291817222,house_pub_assist_yes,0.0
480291817223,house_pub_assist_yes,0.0
480291817232,house_pub_assist_yes,13.0
